Name,Type,Sector,Stage,Area,Website,Description,Source/Verification Note
Asanify,Startup,SaaS,Unconfirmed,Other,https://asanify.com/,"AI-based HR, payroll and EOR/compliance SaaS for startups, SMBs and global-hiring companies.",eChai Ventures Kolkata directory
Beyond Water,Startup,D2C Brands,Bootstrapped,Other,https://beyondwater.in/,Sugar-free water-enhancer and hydration-drops brand turning plain water into flavored functional drinks.,eChai Ventures Kolkata directory
Chai Craft,Startup,D2C Brands,Bootstrapped,Other,https://chaicraft.in/,Organic chai brand and cafe chain plus packaged tea; won 'Emerging Brand of the Year'.,eChai Ventures Kolkata directory
Clan Earth,Startup,D2C Brands,Bootstrapped,Other,https://clanearth.com/,Sustainable lifestyle and apparel brand that ties purchases to tree-planting.,eChai Ventures Kolkata directory
Desi Minimals,Startup,D2C Brands,Bootstrapped,Other,https://desiminimals.com/,Minimalist unisex clothing D2C brand with Indian design sensibility.,eChai Ventures Kolkata directory
Dorje Teas,Startup,D2C Brands,Bootstrapped,Other,https://dorjeteas.com/,Subscription-first Darjeeling tea D2C brand sourcing from the founders' family Selim Hill estate.,eChai Ventures Kolkata directory
Drones Tech Lab,Startup,DeepTech / HardTech,Unconfirmed,Other,[VERIFY: no confirmed live website found],"Manufacturer and distributor of surveillance drones and drone cameras, incubated at IIM Calcutta.",eChai Ventures Kolkata directory
FusionCharts (InfoSoft Global),Startup,SaaS,Acquired,Other,https://www.fusioncharts.com/,"Enterprise JavaScript charting and data-visualization component library; founded and long HQ'd in Kolkata, acquired by Idera in 2020.",eChai Ventures Kolkata directory
GoodFlow,Startup,SaaS,Unconfirmed,Other,https://goodflow.io/,"Lean process-management SaaS for recurring checklists, workflows and SOPs.",eChai Ventures Kolkata directory
IndustryPrime,Startup,SaaS,Unconfirmed,Other,https://www.industryprime.com/,"Cloud procurement and purchase-management SaaS and marketplace, initially built for steel manufacturers.",eChai Ventures Kolkata directory
InSync Tech-Fin Solutions (APPSeCONNECT),Startup,SaaS,Bootstrapped,Other,https://www.appseconnect.com/,Hybrid integration-platform SaaS (APPSeCONNECT) connecting ERPs like SAP and Dynamics with ecommerce platforms.,eChai Ventures Kolkata directory
Kotai Electronics,Startup,DeepTech / HardTech,Unconfirmed,Other,https://kotaielectronics.com/,"AI+IoT hardware/software firm building intelligent traffic, railway-safety and industrial/defence AI systems.",eChai Ventures Kolkata directory
Notebook (Networkz),Startup,EdTech,Unconfirmed,Other,https://notebook.co.in/,"Mobile-first K-12 learning platform with curriculum-aligned audio-visual content, 2M+ users.",eChai Ventures Kolkata directory
NrXen IT Technologies,Startup,DeepTech / HardTech,Unconfirmed,Other,https://nrxen.com/,"Product startup building IoT, machine-learning and AI hardware/software solutions.",eChai Ventures Kolkata directory
Senrysa Technologies,Startup,FinTech,Unconfirmed,Other,https://senrysa.com/,"B2B fintech and retail-tech solutions integrating biometric authentication, payments and banking software.",eChai Ventures Kolkata directory
TABLT Pharmacy,Startup,Healthtech,Unconfirmed,Other,[VERIFY: no confirmed live website found],"Omnichannel pharmacy (formerly Sabse Sasta Dukan) operating across 500+ towns in WB, Bihar, Jharkhand and Odisha.",eChai Ventures Kolkata directory
Delta Autocorp (Deltic),Startup,DeepTech / HardTech,Unconfirmed,Other,https://deltic.co/,"Manufacturer of Deltic-brand electric scooters, e-rickshaws, e-loaders and e-garbage vehicles.",eChai Ventures Kolkata directory
Khadiza Electricals,Startup,Consumer Tech,Unconfirmed,Other,https://www.khadizaelectricals.com/,Electrical goods and appliances ecommerce/retail company.,StartupBlink Kolkata top-startups page (funding data listed)
Calcutta Angels Network (CAN),VCs & Investors,Other,Unconfirmed,Other,https://calcuttaangels.com/,"Eastern India's first angel-investment network, backing early-stage startups across sectors since 2013.",eChai Ventures Kolkata directory (echai.ventures/kolkata/vcs); LinkedIn company page in.linkedin.com/company/calcutta-angels-network
RPSG Capital Ventures,VCs & Investors,D2C Brands,Unconfirmed,Other,https://rpsgcapital.vc/,"Corporate venture arm investing in consumer/D2C food-and-beverage, personal-care and lifestyle companies, ~27-company portfolio.",eChai Ventures Kolkata directory
Navam Capital,VCs & Investors,DeepTech / HardTech,Unconfirmed,Other,https://www.navamcapital.com/,"Deep-tech and frontier-science venture fund (spacetech, climate/energy, AI, robotics, materials); backers of Agnikul Cosmos and GalaxEye.",eChai Ventures Kolkata directory
Seeders (Seeders Venture Capital),VCs & Investors,Other,Unconfirmed,Other,https://www.seeders.in/,Sector-agnostic seed/pre-seed syndicate that has deployed small cheques across 70+ startups.,eChai Ventures Kolkata directory
Kolkata Ventures,VCs & Investors,Other,Unconfirmed,Other,https://kolkataventures.com/,Early-stage accelerator/investor supporting consumer and life-sciences startups with virtual incubation and seed support.,eChai Ventures Kolkata directory
SL Kolkata Angels (StartupLanes),VCs & Investors,Other,Unconfirmed,Other,https://www.startuplanes.com/sl-kolkata-angels/,Sector-agnostic angel-investing chapter syndicating seed-stage deals in Kolkata.,eChai Ventures Kolkata directory
Startup Bengal / West Bengal MSME Venture Capital Fund,VCs & Investors,Other,Unconfirmed,Other,https://www.startupbengal.in/,"Government of West Bengal's startup-ecosystem facilitator and MSME venture-capital fund (~Rs 200 Cr corpus), offering seed grants and investor connects.",eChai Ventures Kolkata directory
"NASSCOM 10,000 Startups Warehouse Kolkata",Incubators & Hubs,SaaS,Unconfirmed,Salt Lake (Sector V),https://nasscomstartups.com/,Plug-and-play incubation warehouse for IT/SaaS startups; Kolkata is NASSCOM's second Startup Warehouse after Bangalore.,eChai Ventures Kolkata directory; Inc42 coverage of NASSCOM Kolkata warehouse launch
TotalStart,Incubators & Hubs,Other,Unconfirmed,New Town / Rajarhat,https://totalstart.in/,"Entrepreneurship-ecosystem developer running Kolkata's first incubation centre, focused on micro/rural entrepreneurs and women founders.",eChai Ventures Kolkata directory
Tata Social Enterprise Challenge (TSEC) Incubation,Incubators & Hubs,Other,Unconfirmed,Other,https://www.tatasocialenterprisechallenge.org/,"Incubation program for social enterprises offering funding connections, training and workspace.",eChai Ventures Kolkata directory
Freeset Business Incubator,Incubators & Hubs,Other,Unconfirmed,Other,https://freesetglobal.com/,Business incubator supporting social enterprises addressing poverty and human trafficking through employment for vulnerable women.,eChai Ventures Kolkata directory
Headstart Network - Kolkata Chapter,Incubators & Hubs,Other,Unconfirmed,Other,https://headstart.in/,Regional chapter of India's Headstart Network running Startup Saturday meetups and peer mentoring for early-stage founders.,eChai Ventures Kolkata directory
IIM Calcutta Innovation Park (IIMCIP),Incubators & Hubs,Other,Unconfirmed,Other,https://iimcip.org/,"IIM Calcutta's business-incubation unit supporting deep-tech, social-venture, healthcare and MSME startups across East and North-East India.","eChai Ventures Kolkata directory [VERIFY: campus is in Joka, on Kolkata's southern edge; not a strict match to listed Kolkata areas]"
Fincubation,Incubators & Hubs,FinTech,Unconfirmed,Salt Lake (Sector V),https://fincubation.com/,"Fintech-exclusive incubator/accelerator offering office space, fundraising assistance and alumni mentorship at Kredent Towers, Sector V.",eChai Ventures Kolkata directory
Neotec Hub (Ambuja Neotia Group),Incubators & Hubs,Other,Unconfirmed,Other,https://www.ambujaneotia.com/our-businesses/incubation/,"Corporate incubation program offering a 12-month track with free workspace and access to the Ambuja Neotia Group's realty, healthcare and hospitality businesses as test beds.",eChai Ventures Kolkata directory
Jadavpur University Incubation Centre (JU Innovation & Startup / IIC),Incubators & Hubs,DeepTech / HardTech,Unconfirmed,Jadavpur,https://juinnovationstartup.jdvu.ac.in/,"University incubation centre supporting research-driven deep-tech student and faculty ventures in AI, healthcare and sustainable energy.",eChai Ventures Kolkata directory
AIC Techno Innovation and Incubation Council,Incubators & Hubs,Other,Unconfirmed,Other,https://aic-techno.com/,Government-supported (Atal Innovation Mission) incubation council backing social-innovation and emerging-tech ventures with grant-in-aid funding.,eChai Ventures Kolkata directory
WEBEL-BCC&I Tech Incubation Centre,Incubators & Hubs,Other,Unconfirmed,Other,https://www.bengalchamber.com/techincubation/index.html,Joint WEBEL / Bengal Chamber of Commerce tech incubation centre supporting IT and MSME digital-transformation startups.,eChai Ventures Kolkata directory
STPI Kolkata,Incubators & Hubs,SaaS,Unconfirmed,Salt Lake (Sector V),https://kolkata.stpi.in/,Software Technology Parks of India centre offering plug-and-play incubation space and a Next Generation Incubation Scheme for IT/ITeS and frontier-tech startups.,eChai Ventures Kolkata directory
RISE Foundation (IISER Kolkata Incubation Centre),Incubators & Hubs,DeepTech / HardTech,Unconfirmed,Other,https://www.iiserkol.ac.in/,Incubation centre supporting science research and deep-tech ventures by IISER Kolkata students and faculty.,"eChai Ventures Kolkata directory [VERIFY: campus is in Mohanpur, Nadia, in the Kolkata metro region but outside city limits]"
