Name,Type,Sector,Stage,Area,Website,Description
Sastasundar,Startup,Healthtech,Acquired,New Town / Rajarhat,https://www.sastasundar.com,Digital pharmacy network and online healthcare distribution platform (acquired by Flipkart Health+).
Chai Break,Startup,D2C Brands,Bootstrapped,Alipore,https://chaibreak.com,Casual dining and quick-service cafe chain offering artisanal beverages and fusion food.
Keventer Agro,Startup,D2C Brands,Series C+,EM Bypass,https://www.keventer.com,Food and beverage enterprise manufacturing dairy packaged fruit juices and frozen products.
DataCore Application Services,Startup,SaaS,Bootstrapped,Salt Lake (Sector V),https://www.datacoreindia.com,Enterprise resource planning software developer and IT management consulting firm.
Teleradiology Solutions,Startup,Healthtech,Bootstrapped,Salt Lake (Sector V),https://www.telradsol.com,Teleradiology software provider offering remote medical imaging interpretation and AI analytics.
BlinkIn Tech,Startup,AI & ML,Seed,Salt Lake (Sector V),https://blinkin.io,Visual AI platform offering real-time augmented reality support and automated troubleshooting tools.
Kredent Tower Startup Hub,Incubators & Hubs,FinTech,Bootstrapped,Salt Lake (Sector V),https://www.kredent.com,Private technology hub housing fintech developers capital market analysts and software teams.
Xpertfly International,Startup,EdTech,Bootstrapped,Salt Lake (Sector V),https://xpertfly.com,Skill development academy offering vocational courses in aviation management and technical fields.
Prakriti Incubation Launchpad,Incubators & Hubs,DeepTech / HardTech,Bootstrapped,Jadavpur,https://www.iimcip.org,Incubation program focused on green manufacturing cleantech and circular economy startups.
ReGen Innovation Accelerator,Incubators & Hubs,DeepTech / HardTech,Bootstrapped,Jadavpur,https://www.iimcip.org,Sustainability-focused acceleration program supporting climate-tech and waste-to-value ventures.
Udgama Accelerator,Incubators & Hubs,Other,Bootstrapped,Jadavpur,https://www.iimcip.org,Sector-agnostic acceleration hub supporting growth-stage startups with market expansion and capital.
Jovaki Agrofood India,Startup,D2C Brands,Seed,Other,https://www.jovaki.com,Social enterprise developing value chains for underutilized fruits with forest-dwelling communities.
Wah! Foods,Startup,D2C Brands,Seed,Other,https://wahfoods.in,QSR platform operating street-food brand outlets including Wah! Puchka and Wah! Litti across India.
MASA Forum,Incubators & Hubs,Other,Bootstrapped,Other,https://masaforum.com,Networking and empowerment platform supporting early-stage MSMEs and startups.
Simco Consultancy,Incubators & Hubs,Other,Bootstrapped,Other,https://simcoconsultancy.com,Enterprise advisory firm and incubator helping regional entrepreneurs scale operations.
Incommerce Ventures LLP,VCs & Investors,FinTech,Bootstrapped,Salt Lake (Sector V),http://incommerce.in,Private seed investment syndicate funding early-stage SaaS e-commerce and fintech ventures.
Alpha Alternatives MSAR,VCs & Investors,FinTech,Bootstrapped,Salt Lake (Sector V),https://www.aagraf.com,Alternative investment platform and real estate funding firm headquartered in Kolkata.
Exactlly Digital Solutions,Startup,SaaS,Bootstrapped,Salt Lake (Sector V),https://www.exactlly.com,Digital enterprise solution provider delivering ERP software and business productivity tools.
Azit Technologies,Startup,SaaS,Bootstrapped,Salt Lake (Sector V),https://azit.co.in,Enterprise software firm specializing in custom web platforms mobile software and IT services.
