Name,Type,Sector,Stage,Area,Website
Exavalu,Startup,SaaS,Unconfirmed,Salt Lake (Sector V),https://www.exavalu.com/
Globsyn Technologies,Startup,SaaS,Bootstrapped,Salt Lake (Sector V),https://www.globsyn.com/
Meghbela Broadband,Startup,Consumer Tech,Unconfirmed,Salt Lake (Sector V),https://www.meghbela.com/
Manikaran Power,Startup,Other,Unconfirmed,Other,https://www.manikaranpower.com/
India Carbon,Startup,DeepTech / HardTech,Unconfirmed,Other,https://www.indiacarbon.com/
Bengal NRI Complex,Startup,Other,Unconfirmed,New Town / Rajarhat,https://www.bengalnri.com/
The Calcutta Stock Exchange,Incubators & Hubs,FinTech,Public,Other,https://www.cse-india.com/
West Bengal Electronics Industry Development Corporation,Incubators & Hubs,DeepTech / HardTech,Public,Salt Lake (Sector V),https://webel.in/
West Bengal Industrial Development Corporation,Incubators & Hubs,Other,Public,Other,https://www.wbidc.com/
West Bengal Financial Corporation,Incubators & Hubs,FinTech,Public,Other,https://wbfc.in/
HIDCO,Incubators & Hubs,Other,Public,New Town / Rajarhat,https://www.wbhidcoltd.com/
West Bengal Tourism Development Corporation,Incubators & Hubs,Other,Public,Other,https://www.wbtourism.gov.in/
Bengal Chamber of Commerce & Industry,Incubators & Hubs,Other,Unconfirmed,Other,https://www.bengalchamber.com/
Indian Chamber of Commerce,Incubators & Hubs,Other,Unconfirmed,Other,https://www.indianchamber.org/
Merchants’ Chamber of Commerce,Incubators & Hubs,Other,Unconfirmed,Other,https://www.mcciorg.com/
Bengal Chamber Tech Incubation Centre,Incubators & Hubs,SaaS,Unconfirmed,Other,https://www.bengalchamber.com/techincubation/portfolio.html
Techno India University Kolkata,Incubators & Hubs,DeepTech / HardTech,Unconfirmed,Other,https://www.technoindiaeducation.com/
University of Engineering & Management Kolkata,Incubators & Hubs,EdTech,Unconfirmed,New Town / Rajarhat,https://uem.edu.in/kolkata/
NEEV – IMI Kolkata Incubation Centre,Incubators & Hubs,Other,Unconfirmed,Alipore,https://incubation.imi-k.edu.in/
IDEAS Technology Innovation Hub,Incubators & Hubs,AI & ML,Unconfirmed,Other,https://www.ideas-tih.org/
IEM Innovation & Entrepreneurship Development Centre,Incubators & Hubs,AI & ML,Unconfirmed,Salt Lake (Sector V),https://iedc.iem.edu.in/
Globsyn Embryon,Incubators & Hubs,Other,Unconfirmed,Salt Lake (Sector V),https://www.globsyn.edu.in/gbs-embryon
RPSG Capital Ventures,VCs & Investors,D2C Brands,Unconfirmed,Alipore,https://www.rpsg.in/business/rpsgventure
Primarc I-Venture,VCs & Investors,Other,Unconfirmed,Salt Lake (Sector V),https://primarc.in/our-business/angel-investing
Vesuvius India,Startup,DeepTech / HardTech,Public,Other,https://www.vesuviusindia.com/
Bengal Chemicals & Pharmaceuticals,Startup,Healthtech,Public,Other,https://www.bengalchemicals.co.in/
Woodlands Multispeciality Hospital,Startup,Healthtech,Unconfirmed,Other,https://www.woodlandshospital.in/
AMRI Hospitals,Startup,Healthtech,Unconfirmed,EM Bypass,https://www.amrihospitals.in/
Peerless Hospital,Startup,Healthtech,Unconfirmed,Other,https://www.peerlesshospital.com/
Belle Vue Clinic,Startup,Healthtech,Unconfirmed,Park Street & Camac Street,https://www.bellevueclinic.com/
Medica Superspecialty Hospital,Startup,Healthtech,Unconfirmed,Other,https://www.medicahospitals.in/
