Name,DPIIT Stage,District / City,Focus Industry,Startup India Profile,Source
MUNHU INNOVATIONS LLP,Ideation,Howrah,Technology Hardware,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a47aca3e4b0359e44e3127a.html,Startup India (DPIIT profile)
APPRISE LLP,Ideation,Kolkata,IT Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a47a5b2e4b0359e44e30eb1.html,Startup India (DPIIT profile)
CLOUDRAPTIX TECHNOLOGY LLP,Ideation,North 24 Parganas,IT Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a47a5ace4b0359e44e30eac.html,Startup India (DPIIT profile)
GLOBAL HEALTH CLUB FOUNDATION,Validation,North 24 Parganas,Social Impact,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a479757e4b0359e44e30767.html,Startup India (DPIIT profile)
BHAGABATI CONSTRUCTION AND INFRASTRUCTURE LLP,Validation,Kolkata,Construction,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a4782f1e4b0359e44e2fd34.html,Startup India (DPIIT profile)
DRONEASE PRIVATE LIMITED,Ideation,Nadia,Agriculture,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a476987e4b0359e44e2f082.html,Startup India (DPIIT profile)
KONNEKT ASIA LLP,Ideation,North 24 Parganas,Professional & Commercial Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a47689ce4b0359e44e2efcb.html,Startup India (DPIIT profile)
SKOLLY PRIVATE LIMITED,Ideation,Asansol,Education,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a46cde9e4b0359e44e2cdc2.html,Startup India (DPIIT profile)
HIMAL AGRO FOODTECH PRIVATE LIMITED,Ideation,Darjeeling,Agriculture,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a46669de4b0359e44e2b262.html,Startup India (DPIIT profile)
XLSKYLINE ALGORITHMICS PRIVATE LIMITED,Validation,Cooch Behar,AI,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a45ff90e4b0359e44e26a28.html,Startup India (DPIIT profile)
BHARATI SRS ENERGY LLP,Early Traction,Howrah,Construction,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a45ff11e4b0359e44e269c4.html,Startup India (DPIIT profile)
MORPHEOUS TUNNELLING TECHNOLOGIES PRIVATE LIMITED,Scaling,Howrah,Construction,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a452e0be4b0359e44e24681.html,Startup India (DPIIT profile)
PREFERRED AUDIOLOGY PRIVATE LIMITED,Validation,North 24 Parganas,Healthcare & Lifesciences,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a4506ebe4b0359e44e2386a.html,Startup India (DPIIT profile)
ATCO SURGICALS,Early Traction,Kolkata,Healthcare & Lifesciences,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a4500afe4b0359e44e23536.html,Startup India (DPIIT profile)
SHEEJ (OPC) PRIVATE LIMITED,Ideation,Kolkata,Textiles & Apparel,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a44fe50e4b0359e44e23403.html,Startup India (DPIIT profile)
ADEMYSTIFIER CONSORTIUM LLP,Ideation,Medinipur,Agriculture,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a44f5b4e4b0359e44e22f92.html,Startup India (DPIIT profile)
ECOGENESIS CONSULTANCY PRIVATE LIMITED,Early Traction,South 24 Parganas,Professional & Commercial Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a44f2fae4b0359e44e22e24.html,Startup India (DPIIT profile)
THE KIND GROVE PRIVATE LIMITED,Ideation,Purba Bardhaman,Renewable Energy,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a44e0b8e4b0359e44e2236f.html,Startup India (DPIIT profile)
FLOWTASK LLP,Validation,Hooghly,AI,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a44de53e4b0359e44e22237.html,Startup India (DPIIT profile)
DIGITYZE INTERNATIONAL (OPC) PRIVATE LIMITED,Early Traction,Kolkata,IT Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a44c72fe4b0359e44e2156a.html,Startup India (DPIIT profile)
EOMS INDUSTRIAL SOLUTIONS LLP,Validation,Kolkata,Construction,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a44c72be4b0359e44e21566.html,Startup India (DPIIT profile)
ANJALI ECO-TECH PRIVATE LIMITED,Early Traction,South 24 Parganas,Technology Hardware,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a44bff5e4b0359e44e21152.html,Startup India (DPIIT profile)
RUDRAKHSHI IMPEX AND SERVICES PRIVATE LIMITED,Ideation,Paschim Medinipur,Food & Beverages,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a44bc49e4b0359e44e20f73.html,Startup India (DPIIT profile)
MNSSS INFRA BUILDERS PRIVATE LIMITED,Early Traction,Kolkata,Construction,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a44b397e4b0359e44e209ed.html,Startup India (DPIIT profile)
LUCIVELLE LUXORA FASHION LLP,Ideation,North 24 Parganas,Retail,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a44b05fe4b0359e44e207d2.html,Startup India (DPIIT profile)
SUPERX CORPORATION PRIVATE LIMITED,Early Traction,Purba Bardhaman,IT Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a43e8c7e4b0359e44e1e1dd.html,Startup India (DPIIT profile)
DCPOWER PRODUCTS PRIVATE LIMITED,Scaling,Kolkata,Telecommunication & Networking,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a43d227e4b0359e44e1d9af.html,Startup India (DPIIT profile)
SHUDDH ARADHANA PRIVATE LIMITED,Validation,South 24 Parganas,House-Hold Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a43ad2ae4b0359e44e1c6a8.html,Startup India (DPIIT profile)
REVANEX PHARMACEUTICALS PRIVATE LIMITED,Ideation,Darjeeling,Healthcare & Lifesciences,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a436a0fe4b0359e44e19c54.html,Startup India (DPIIT profile)
THINK&SHARE PEMENTS PRIVATE LIMITED,Ideation,North 24 Parganas,Healthcare & Lifesciences,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a42767ce4b0359e44e15b33.html,Startup India (DPIIT profile)
INDIISERVE SOLUTIONS PRIVATE LIMITED,Early Traction,Kolkata,IT Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a425fb7e4b0359e44e14ef5.html,Startup India (DPIIT profile)
UMESHRISHI FOODS PRIVATE LIMITED,Early Traction,Purba Bardhaman,Agriculture,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a423cd0e4b0359e44e137e9.html,Startup India (DPIIT profile)
DIBWAS WEBSOFT TECHNOLOGIES LLP,Validation,North 24 Parganas,Internet of Things,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a422a5be4b0359e44e12b30.html,Startup India (DPIIT profile)
MEDICEVO SALES PRIVATE LIMITED,Validation,South 24 Parganas,Healthcare & Lifesciences,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a42225ae4b0359e44e12617.html,Startup India (DPIIT profile)
MAITYOS PRIVATE LIMITED,Validation,Hooghly,Enterprise Software,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a421f78e4b0359e44e1243d.html,Startup India (DPIIT profile)
BURU RETAILS PRIVATE LIMITED,Early Traction,North 24 Parganas,Internet of Things,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a3f0c3ce4b0359e44e068bd.html,Startup India (DPIIT profile)
FARM-ION HYDROPONIC PRODUCE LLP,Scaling,Hooghly,Agriculture,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a3eae32e4b0359e44e05e41.html,Startup India (DPIIT profile)
IMAGINE EXPO DIGITAL PRIVATE LIMITED,Ideation,Purba Medinipur,Advertising,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a3e768ae4b0359e44e04d4c.html,Startup India (DPIIT profile)
INOURE TECHNOLOGIES PRIVATE LIMITED,Ideation,North 24 Parganas,Robotics,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a3d9935e4b0359e44e00adb.html,Startup India (DPIIT profile)
HEXSTAR UNIVERSE PRIVATE LIMITED,Early Traction,South 24 Parganas,Education,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a3d4c83e4b0359e44dffcc4.html,Startup India (DPIIT profile)
CORELEA FOODS PRIVATE LIMITED,Ideation,Kolkata,Food & Beverages,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a3d149fe4b0359e44dfe836.html,Startup India (DPIIT profile)
ASR MOTIONTECH PRIVATE LIMITED,Early Traction,Kolkata,Technology Hardware,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a3d0d6de4b0359e44dfe374.html,Startup India (DPIIT profile)
THE LEGEND CONSTRUCTIONS & FURNISHINGS PRIVATE LIMITED,Validation,Nadia,Construction,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a3cef39e4b0359e44dfbf61.html,Startup India (DPIIT profile)
ISMAIL ANA GLOBAL EXPORTERS (OPC) PRIVATE LIMITED,Validation,Purulia,Construction,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a3cb912e4b0359e44df9e35.html,Startup India (DPIIT profile)
BASANTI BIOMEDICAL (OPC) PRIVATE LIMITED,Validation,Kolkata,Healthcare & Lifesciences,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a3c1a16e4b0359e44df8ae6.html,Startup India (DPIIT profile)
PINAKIN KANTHA CONSULTANCY LLP,Ideation,Kolkata,IT Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a3bf9fae4b0359e44df7fc4.html,Startup India (DPIIT profile)
FINSOFT DIGINEXT SOLUTIONS PRIVATE LIMITED,Early Traction,Nadia,Finance Technology,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a3be9bbe4b0359e44df7adc.html,Startup India (DPIIT profile)
ALLYAGRINEST PRIVATE LIMITED,Ideation,North 24 Parganas,Agriculture,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a3bd9ebe4b0359e44df7503.html,Startup India (DPIIT profile)
RISSEEN MERCHENDISE PRIVATE LIMITED,Ideation,Kolkata,Marketing,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a3ba8e4e4b0359e44df3fc8.html,Startup India (DPIIT profile)
SNM SCINOVOTECH PRIVATE LIMITED,Ideation,Kolkata,Healthcare & Lifesciences,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a3b6663e4b0359e44df1b1c.html,Startup India (DPIIT profile)
NAKSHVAANI TEA LLP,Early Traction,Darjeeling,Food & Beverages,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a3b62d2e4b0359e44df1977.html,Startup India (DPIIT profile)
INCORVA CORPORATE VENTURES LLP,Scaling,Habra,Enterprise Software,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a3acdc4e4b0359e44df0615.html,Startup India (DPIIT profile)
MATRI BHABAN SEBA KENDRA,Validation,South 24 Parganas,Human Resources,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a3a2e9ee4b0359e44deb62c.html,Startup India (DPIIT profile)
SAHA AGRO GENETIC PRIVATE LIMITED,Validation,Nadia,Agriculture,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a393cb7e4b0359e44de817d.html,Startup India (DPIIT profile)
ANANTHEA GLOBAL PRIVATE LIMITED,Ideation,Hooghly,Retail,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a38438ee4b06921f1d78349.html,Startup India (DPIIT profile)
NEELKANTHA FEB TECH PRIVATE LIMITED,Early Traction,Purba Bardhaman,Technology Hardware,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a36a857e4b06921f1d73bc5.html,Startup India (DPIIT profile)
UPCHAAR HEALTH PRIVATE LIMITED,Ideation,Paschim Bardhaman,Healthcare & Lifesciences,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a365f76e4b06921f1d71f42.html,Startup India (DPIIT profile)
NYD STUDIO (OPC) PRIVATE LIMITED,Ideation,Kolkata,Fashion,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a36517ae4b06921f1d718c1.html,Startup India (DPIIT profile)
REFRAMET,Early Traction,Kolkata,Chemicals,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a364f59e4b06921f1d716fa.html,Startup India (DPIIT profile)
WINOVER IMPEX PRIVATE LIMITED,Scaling,Kolkata,Food & Beverages,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a363b96e4b06921f1d70acf.html,Startup India (DPIIT profile)
KARMA SILVERLIFE PRIVATE LIMITED,Scaling,Kolkata,Healthcare & Lifesciences,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a352684e4b06921f1d6ccd9.html,Startup India (DPIIT profile)
VIDYALAXMI TRADEHUB PRIVATE LIMITED,Ideation,Medinipur,Construction,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a34e112e4b06921f1d6a2ae.html,Startup India (DPIIT profile)
SAMRAYA COMMERCE PRIVATE LIMITED,Ideation,North 24 Parganas,Fashion,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a33a5a3e4b06921f1d63c8f.html,Startup India (DPIIT profile)
ROY CONSTRUCTION & CO,Ideation,Jalpaiguri,Construction,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a32589be4b06921f1d5aea9.html,Startup India (DPIIT profile)
JCM INTELLECT PRIVATE LIMITED,Ideation,Kolkata,Aeronautics Aerospace & Defence,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a325578e4b06921f1d5ad79.html,Startup India (DPIIT profile)
MSB MARKETING & SERVICES LLP,Ideation,South 24 Parganas,Telecommunication & Networking,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a31382ee4b06921f1d55a8b.html,Startup India (DPIIT profile)
MPP LEATHERS PRIVATE LIMITED,Validation,Kolkata,Retail,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a310988e4b06921f1d53dd4.html,Startup India (DPIIT profile)
BIZSUCCESS DIGITAL LLP,Validation,Hooghly,Marketing,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a2ffaf6e4b06921f1d4f14e.html,Startup India (DPIIT profile)
